id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_139,2015-04-21,12:40:01,1429612801810,2,141943,1,p,1,609,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:05,1429612801810,2,146543,2,p,1,672,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:09,1429612801810,2,151825,3,p,1,682,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:14,1429612801810,2,156912,4,p,1,558,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:19,1429612801810,2,160469,5,p,1,745,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:23,1429612801810,2,163744,6,p,1,604,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:26,1429612801810,2,167439,7,p,1,622,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:30,1429612801810,2,171648,8,p,1,692,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:34,1429612801810,2,176879,9,p,1,672,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:39,1429612801810,2,182315,10,p,1,582,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:45,1429612801810,2,186304,11,p,1,636,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:49,1429612801810,2,189850,12,p,1,608,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:52,1429612801810,2,194741,13,p,1,537,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:40:57,1429612801810,2,199088,14,p,1,635,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:02,1429612801810,2,204678,15,p,1,545,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:07,1429612801810,2,209089,16,p,1,759,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:12,1429612801810,2,214513,17,p,1,653,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:17,1429612801810,2,218625,18,p,1,888,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:21,1429612801810,2,223104,19,p,1,596,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:26,1429612801810,2,226229,20,p,1,661,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:29,1429612801810,2,230239,21,p,1,630,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:33,1429612801810,2,235852,22,p,1,612,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:38,1429612801810,2,241087,23,p,1,540,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:44,1429612801810,2,244415,24,p,1,810,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:47,1429612801810,2,247549,25,p,1,831,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:50,1429612801810,2,252334,26,p,1,594,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:55,1429612801810,2,255209,27,p,1,759,,656.740740741,635,90.7437612149
SI_139,2015-04-21,12:41:58,1429612801810,2,258838,28,p,0,,,656.740740741,635,90.7437612149
