id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_149,2015-05-30,12:32:47,1432981967347,4,387195,1,p,1,427,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:32:50,1432981967347,4,390013,2,p,1,341,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:32:53,1432981967347,4,393265,3,p,1,387,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:32:56,1432981967347,4,396684,4,p,1,384,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:32:59,1432981967347,4,399737,5,p,1,380,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:02,1432981967347,4,402305,6,p,1,414,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:05,1432981967347,4,406291,7,p,1,444,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:09,1432981967347,4,411243,8,p,1,374,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:14,1432981967347,4,413894,9,p,1,452,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:17,1432981967347,4,419264,10,p,1,402,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:22,1432981967347,4,423049,11,p,1,420,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:26,1432981967347,4,427301,12,p,1,400,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:30,1432981967347,4,431353,13,p,1,436,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:34,1432981967347,4,435936,14,p,1,351,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:39,1432981967347,4,440758,15,p,1,408,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:43,1432981967347,4,445277,16,p,1,419,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:48,1432981967347,4,448862,17,p,1,412,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:51,1432981967347,4,451695,18,p,1,435,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:54,1432981967347,4,455682,19,p,1,407,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:33:58,1432981967347,4,459425,20,p,1,454,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:02,1432981967347,4,462269,21,p,1,455,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:05,1432981967347,4,466321,22,p,1,403,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:09,1432981967347,4,469739,23,p,1,520,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:12,1432981967347,4,473008,24,p,1,596,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:16,1432981967347,4,477576,25,p,1,408,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:20,1432981967347,4,481445,26,p,1,364,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:24,1432981967347,4,485097,27,p,1,464,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:28,1432981967347,4,488749,28,p,1,422,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:31,1432981967347,4,492050,29,p,1,419,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:35,1432981967347,4,497403,30,p,1,418,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:40,1432981967347,4,501936,31,p,1,375,,419.064516129,414,48.730507545
SI_149,2015-05-30,12:34:45,1432981967347,4,504321,32,p,0,,,419.064516129,414,48.730507545
