id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_188,2015-10-12,12:41:32,1444646492080,2,158068,1,p,1,1560,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:41:36,1444646492080,2,162833,2,p,1,465,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:41:41,1444646492080,2,166374,3,p,1,456,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:41:45,1444646492080,2,169871,4,p,1,463,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:41:48,1444646492080,2,174222,5,p,1,417,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:41:53,1444646492080,2,178932,6,p,1,416,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:41:57,1444646492080,2,183554,7,p,1,521,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:02,1444646492080,2,188989,8,p,1,423,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:07,1444646492080,2,192246,9,p,1,463,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:11,1444646492080,2,195455,10,p,1,449,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:14,1444646492080,2,198174,11,p,1,457,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:16,1444646492080,2,203225,12,p,1,471,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:22,1444646492080,2,206612,13,p,1,466,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:25,1444646492080,2,212061,14,p,1,474,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:30,1444646492080,2,217703,15,p,1,1104,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:36,1444646492080,2,222941,16,p,1,467,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:41,1444646492080,2,225598,17,p,1,483,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:44,1444646492080,2,228255,18,p,1,480,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:47,1444646492080,2,232224,19,p,1,506,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:51,1444646492080,2,235233,20,p,1,534,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:54,1444646492080,2,238641,21,p,1,428,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:42:57,1444646492080,2,243513,22,p,1,431,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:02,1444646492080,2,246448,23,p,1,417,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:05,1444646492080,2,249322,24,p,1,435,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:08,1444646492080,2,254241,25,p,1,487,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:13,1444646492080,2,257577,26,p,1,442,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:16,1444646492080,2,261904,27,p,1,426,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:20,1444646492080,2,266852,28,p,1,463,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:25,1444646492080,2,270183,29,p,1,550,,522.551724138,463,234.818407986
SI_188,2015-10-12,12:43:28,1444646492080,2,273399,30,p,0,,,522.551724138,463,234.818407986
