id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_257,2016-03-01,05:44:37,,,3,320721,1,p,1,596,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:44:42,,,3,325122,2,p,1,606,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:44:47,,,3,328324,3,p,1,644,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:44:50,,,3,332275,4,p,1,494,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:44:54,,,3,336112,5,p,1,498,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:44:58,,,3,340844,6,p,1,501,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:02,,,3,346242,7,p,1,560,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:08,,,3,349199,8,p,1,722,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:11,,,3,352753,9,p,1,606,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:14,,,3,355612,10,p,1,620,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:17,,,3,359559,11,p,1,536,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:21,,,3,364200,12,p,1,618,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:26,,,3,367664,13,p,1,668,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:29,,,3,371121,14,p,1,532,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:33,,,3,375804,15,p,1,562,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:37,,,3,380884,16,p,1,536,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:42,,,3,384033,17,p,1,675,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:46,,,3,389264,18,p,1,502,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:51,,,3,392547,19,p,1,609,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:54,,,3,397574,20,p,1,470,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:45:59,,,3,402731,21,p,1,527,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:04,,,3,406549,22,p,1,287,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:08,,,3,411367,23,p,1,510,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:13,,,3,416851,24,p,1,550,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:18,,,3,421415,25,p,1,559,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:23,,,3,424844,26,p,1,681,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:26,,,3,427552,27,p,1,627,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:29,,,3,431777,28,p,1,571,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:33,,,3,435352,29,p,1,680,,570.586206897,562,85.937484438
SI_257,2016-03-01,05:46:37,,,3,435909,30,p,0,,,570.586206897,562,85.937484438
