id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_146,2015-05-22,00:09:50,1432246190088,2,162307,1,1,7,1,11,16,10,14,7,8,,"1,1",1,1.601
SI_146,2015-05-22,00:10:02,1432246190088,2,174787,2,2,7,16,15,7,14,2,10,1,,"12,5",1,1.636
SI_146,2015-05-22,00:10:15,1432246190088,2,188028,3,3,7,6,2,9,8,1,3,7,,"6,4",0,2.395
SI_146,2015-05-22,00:10:28,1432246190088,2,200190,4,4,7,12,6,16,9,2,7,11,,"6,2",0,1.312
SI_146,2015-05-22,00:10:40,1432246190088,2,212256,5,5,7,10,13,15,3,12,11,16,,"13,2",0,1.211
SI_146,2015-05-22,00:10:52,1432246190088,2,224674,6,6,7,14,11,6,16,5,1,2,,"15,5",1,1.57
SI_146,2015-05-22,00:11:04,1432246190088,2,236704,7,7,7,15,14,9,2,5,4,8,,"9,5",1,1.19
SI_146,2015-05-22,00:11:16,1432246190088,2,250704,8,8,7,10,1,15,4,5,14,8,,"16,4",1,3.159
SI_146,2015-05-22,00:11:30,1432246190088,2,263506,9,9,7,2,10,14,15,13,7,5,,"14,6",1,1.958
SI_146,2015-05-22,00:11:43,1432246190088,2,277260,10,10,7,5,14,10,6,16,1,4,,"9,2",0,2.895
